羁绊,1,2,3,4,5,6,7,8
2格斗家 1女皇 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 3虚空 ,加里奥,凯尔,瑞兹,科加斯,盖伦,卑尔维斯,亚托克斯,雷克塞
2挑战者 2神谕者 2主宰 2裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,艾瑞莉娅,卡尔玛,盖伦,卡莉丝塔,瑟提,格温
2挑战者 2神谕者 2裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,艾瑞莉娅,卡尔玛,拉克丝,阿狸,卡莉丝塔,格温
2挑战者 2神谕者 2主宰 2裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,盖伦,亚索,卡莉丝塔,瑟提,格温
2神谕者 2主宰 2潜行者 3裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,盖伦,佛耶戈,劫,瑟提,格温
2挑战者 2神谕者 2裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,拉克丝,阿狸,亚索,卡莉丝塔,格温
2神谕者 2潜行者 3裁决战士 2法师 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,卡尔玛,拉克丝,阿狸,佛耶戈,劫,格温
2堡垒卫士 2神谕者 2主宰 2潜行者 2裁决战士 3德玛西亚 3艾欧尼亚 2暗影岛 ,加里奥,凯尔,茂凯,盖伦,慎,佛耶戈,劫,瑟提
2格斗家 2神谕者 2主宰 2术士 3德玛西亚 3诺克萨斯 3恕瑞玛 ,加里奥,赛恩,娑娜,雷克顿,卡西奥佩娅,盖伦,德莱厄斯,塔莉垭
2格斗家 2神谕者 2主宰 2司令 3德玛西亚 3诺克萨斯 3恕瑞玛 ,加里奥,赛恩,雷克顿,嘉文四世,卡西奥佩娅,盖伦,德莱厄斯,阿兹尔
2亡眼射手 2神谕者 2术士 2司令 3德玛西亚 3恕瑞玛 2巨神峰 ,加里奥,索拉卡,娑娜,嘉文四世,塔莉垭,阿克尚,阿兹尔,厄斐琉斯
2亡眼射手 2神谕者 2主宰 2术士 3德玛西亚 3恕瑞玛 2巨神峰 ,加里奥,索拉卡,娑娜,内瑟斯,盖伦,塔莉垭,阿克尚,厄斐琉斯
2堡垒卫士 4神谕者 2主宰 2法师 3德玛西亚 3艾欧尼亚 2巨神峰 ,加里奥,索拉卡,卡尔玛,塔里克,盖伦,慎,拉克丝,瑟提
2堡垒卫士 2神谕者 2主宰 2裁决战士 2法师 1暗裔 3德玛西亚 2暗影岛 2巨神峰 ,加里奥,索拉卡,塔里克,茂凯,盖伦,拉克丝,亚托克斯,格温
2亡眼射手 2神谕者 2主宰 2司令 3德玛西亚 3恕瑞玛 2巨神峰 ,加里奥,索拉卡,嘉文四世,内瑟斯,盖伦,阿克尚,阿兹尔,厄斐琉斯
2亡眼射手 2神谕者 2主宰 2法师 3德玛西亚 3艾欧尼亚 2巨神峰 ,加里奥,索拉卡,盖伦,拉克丝,阿狸,烬,厄斐琉斯,瑟提
2亡眼射手 2神谕者 2术士 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,艾希,娑娜,嘉文四世,丽桑卓,塔莉垭,阿克尚,阿兹尔
2亡眼射手 2神谕者 2主宰 2术士 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,艾希,娑娜,内瑟斯,盖伦,丽桑卓,塔莉垭,阿克尚
2亡眼射手 2神谕者 2主宰 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,艾希,嘉文四世,内瑟斯,盖伦,丽桑卓,阿克尚,阿兹尔
2亡眼射手 2神谕者 2主宰 2法师 3德玛西亚 2弗雷尔卓德 3艾欧尼亚 ,加里奥,艾希,盖伦,拉克丝,阿狸,丽桑卓,烬,瑟提
2格斗家 1女皇 2神谕者 2术士 2法师 3德玛西亚 2弗雷尔卓德 3虚空 ,加里奥,科加斯,娑娜,拉克丝,瑟庄妮,丽桑卓,维克兹,卑尔维斯
2格斗家 2神谕者 2术士 2司令 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,娑娜,雷克顿,嘉文四世,瑟庄妮,丽桑卓,塔莉垭,阿兹尔
2格斗家 2神谕者 2主宰 2术士 3德玛西亚 2弗雷尔卓德 3恕瑞玛 ,加里奥,娑娜,雷克顿,内瑟斯,盖伦,瑟庄妮,丽桑卓,塔莉垭
