羁绊,1,2,3,4,5,6,7,8
2枪手 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 2祖安 ,加里奥,凯尔,瑞兹,盖伦,泽丽,金克丝,亚托克斯
2堡垒卫士 2神谕者 2裁决战士 2法师 3德玛西亚 2暗影岛 2巨神峰 ,加里奥,凯尔,索拉卡,塔里克,茂凯,拉克丝,格温
2挑战者 2神谕者 2主宰 2裁决战士 1暗裔 3德玛西亚 3艾欧尼亚 ,加里奥,凯尔,艾瑞莉娅,卡尔玛,盖伦,亚索,亚托克斯
2神谕者 2主宰 2裁决战士 2法师 1暗裔 3德玛西亚 3艾欧尼亚 ,加里奥,凯尔,卡尔玛,拉克丝,阿狸,亚托克斯,瑟提
2格斗家 2神谕者 2术士 2法师 1流浪法师 3德玛西亚 3虚空 ,加里奥,瑞兹,科加斯,娑娜,拉克丝,维克兹,雷克塞
2格斗家 2挑战者 2亡眼射手 2主宰 2弗雷尔卓德 3诺克萨斯 2祖安 ,厄加特,赛恩,沃里克,艾希,瑟庄妮,德莱厄斯,莎弥拉
2挑战者 2亡眼射手 2神谕者 2主宰 3艾欧尼亚 2巨神峰 2祖安 ,厄加特,索拉卡,沃里克,艾瑞莉娅,卡尔玛,厄斐琉斯,瑟提
2挑战者 2亡眼射手 2神谕者 2主宰 3艾欧尼亚 2巨神峰 2祖安 ,厄加特,索拉卡,沃里克,卡尔玛,亚索,厄斐琉斯,瑟提
2挑战者 2亡眼射手 2神谕者 2主宰 2弗雷尔卓德 3艾欧尼亚 2祖安 ,厄加特,沃里克,艾希,艾瑞莉娅,卡尔玛,丽桑卓,瑟提
2挑战者 2亡眼射手 2神谕者 2主宰 2弗雷尔卓德 3艾欧尼亚 2祖安 ,厄加特,沃里克,艾希,卡尔玛,丽桑卓,亚索,瑟提
2挑战者 2亡眼射手 2枪手 2主宰 3艾欧尼亚 4祖安 ,厄加特,沃里克,艾瑞莉娅,烬,泽丽,金克丝,瑟提
2堡垒卫士 2挑战者 2亡眼射手 2主宰 2暗影岛 3恕瑞玛 2祖安 ,厄加特,沃里克,茂凯,内瑟斯,阿克尚,卡莉丝塔,奎桑提
2挑战者 2亡眼射手 2枪手 2主宰 3艾欧尼亚 4祖安 ,厄加特,沃里克,亚索,烬,泽丽,金克丝,瑟提
2堡垒卫士 2亡眼射手 2枪手 2神谕者 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,卡尔玛,茂凯,慎,烬,泽丽,赛娜
2堡垒卫士 2亡眼射手 2枪手 2神谕者 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,厄加特,卡尔玛,茂凯,慎,烬,金克丝,赛娜
2格斗家 2主宰 2裁决战士 2法师 1暗裔 3德玛西亚 3虚空 ,凯尔,科加斯,盖伦,玛尔扎哈,拉克丝,亚托克斯,雷克塞
2主宰 2术士 2裁决战士 2司令 1暗裔 3德玛西亚 3恕瑞玛 ,凯尔,娑娜,嘉文四世,内瑟斯,塔莉垭,亚托克斯,阿兹尔
1女皇 2主宰 2术士 2裁决战士 2法师 1暗裔 3德玛西亚 3虚空 ,凯尔,娑娜,盖伦,玛尔扎哈,维克兹,卑尔维斯,亚托克斯
2挑战者 2主宰 2裁决战士 2法师 1暗裔 3德玛西亚 3艾欧尼亚 ,凯尔,艾瑞莉娅,盖伦,拉克丝,阿狸,亚索,亚托克斯
2堡垒卫士 2格斗家 2挑战者 2神谕者 1流浪法师 3艾欧尼亚 3虚空 ,瑞兹,科加斯,卡萨丁,艾瑞莉娅,慎,亚索,雷克塞
2格斗家 2挑战者 1女皇 2神谕者 1流浪法师 3艾欧尼亚 3虚空 ,瑞兹,科加斯,艾瑞莉娅,卡尔玛,亚索,卑尔维斯,雷克塞
2堡垒卫士 2挑战者 2神谕者 2法师 1流浪法师 3艾欧尼亚 3虚空 ,瑞兹,卡萨丁,艾瑞莉娅,玛尔扎哈,慎,阿狸,卡莎
2堡垒卫士 2挑战者 2神谕者 2法师 1流浪法师 3艾欧尼亚 3虚空 ,瑞兹,卡萨丁,玛尔扎哈,慎,阿狸,卡莎,亚索
2挑战者 1女皇 2神谕者 2法师 1流浪法师 3艾欧尼亚 3虚空 ,瑞兹,艾瑞莉娅,卡尔玛,玛尔扎哈,阿狸,卡莎,卑尔维斯
2挑战者 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3艾欧尼亚 2暗影岛 ,瑞兹,艾瑞莉娅,卡尔玛,亚托克斯,卡莉丝塔,瑟提,格温
2挑战者 1女皇 2神谕者 2法师 1流浪法师 3艾欧尼亚 3虚空 ,瑞兹,卡尔玛,玛尔扎哈,阿狸,卡莎,亚索,卑尔维斯
2挑战者 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3艾欧尼亚 2暗影岛 ,瑞兹,卡尔玛,亚索,亚托克斯,卡莉丝塔,瑟提,格温
2神谕者 2主宰 2潜行者 3裁决战士 1流浪法师 1暗裔 3艾欧尼亚 2暗影岛 ,瑞兹,卡尔玛,佛耶戈,劫,亚托克斯,瑟提,格温
2堡垒卫士 2神谕者 2主宰 2潜行者 2裁决战士 1流浪法师 1暗裔 3艾欧尼亚 2暗影岛 ,瑞兹,茂凯,慎,佛耶戈,劫,亚托克斯,瑟提
2堡垒卫士 2亡眼射手 2神谕者 2主宰 1流浪法师 3艾欧尼亚 3恕瑞玛 ,瑞兹,内瑟斯,慎,阿克尚,烬,瑟提,奎桑提
2格斗家 2亡眼射手 1女皇 2神谕者 2弗雷尔卓德 2巨神峰 3虚空 ,索拉卡,艾希,科加斯,丽桑卓,卑尔维斯,雷克塞,厄斐琉斯
2堡垒卫士 2格斗家 2神谕者 2法师 2弗雷尔卓德 2巨神峰 3虚空 ,索拉卡,科加斯,卡萨丁,塔里克,玛尔扎哈,瑟庄妮,丽桑卓
2堡垒卫士 2格斗家 2神谕者 2法师 2弗雷尔卓德 2巨神峰 3虚空 ,索拉卡,卡萨丁,塔里克,玛尔扎哈,瑟庄妮,丽桑卓,雷克塞
2堡垒卫士 2挑战者 2神谕者 2法师 3艾欧尼亚 2暗影岛 2巨神峰 ,索拉卡,艾瑞莉娅,卡尔玛,塔里克,茂凯,阿狸,卡莉丝塔
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 3艾欧尼亚 2暗影岛 2巨神峰 ,索拉卡,艾瑞莉娅,茂凯,慎,烬,卡莉丝塔,厄斐琉斯
2堡垒卫士 2挑战者 2神谕者 2法师 3艾欧尼亚 2暗影岛 2巨神峰 ,索拉卡,卡尔玛,塔里克,茂凯,阿狸,亚索,卡莉丝塔
2亡眼射手 2神谕者 2潜行者 2裁决战士 3艾欧尼亚 2暗影岛 2巨神峰 ,索拉卡,卡尔玛,烬,佛耶戈,劫,厄斐琉斯,格温
2堡垒卫士 2神谕者 2潜行者 2裁决战士 2法师 3艾欧尼亚 2暗影岛 2巨神峰 ,索拉卡,塔里克,慎,阿狸,佛耶戈,劫,格温
