羁绊,1,2,3,4,5,6,7,8
2神谕者 2术士 2裁决战士 2司令 1流浪法师 5德玛西亚 2恕瑞玛 ,加里奥,凯尔,瑞兹,娑娜,嘉文四世,塔莉垭,阿兹尔,奎因
2堡垒卫士 2神谕者 2术士 2裁决战士 1流浪法师 5德玛西亚 2恕瑞玛 ,加里奥,凯尔,瑞兹,娑娜,波比,塔莉垭,奎因,奎桑提
2挑战者 2神谕者 2术士 2裁决战士 1流浪法师 1暗裔 5德玛西亚 2恕瑞玛 ,加里奥,凯尔,瑞兹,娑娜,塔莉垭,奎因,菲奥娜,纳亚菲利
2堡垒卫士 4神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 3艾欧尼亚 ,加里奥,凯尔,瑞兹,卡尔玛,波比,瑟提,慎,亚托克斯
2堡垒卫士 2神谕者 2裁决战士 2司令 1流浪法师 5德玛西亚 2恕瑞玛 ,加里奥,凯尔,瑞兹,嘉文四世,波比,阿兹尔,奎因,奎桑提
2挑战者 2神谕者 2裁决战士 2司令 1流浪法师 1暗裔 5德玛西亚 2恕瑞玛 ,加里奥,凯尔,瑞兹,嘉文四世,阿兹尔,奎因,菲奥娜,纳亚菲利
2堡垒卫士 2挑战者 2神谕者 2裁决战士 1流浪法师 1暗裔 5德玛西亚 2恕瑞玛 ,加里奥,凯尔,瑞兹,波比,奎因,菲奥娜,奎桑提,纳亚菲利
2堡垒卫士 1女皇 2神谕者 2裁决战士 2法师 3德玛西亚 2巨神峰 3虚空 ,加里奥,凯尔,索拉卡,卡萨丁,玛尔扎哈,卑尔维斯,奎因,塔里克
2挑战者 2枪手 2神谕者 2主宰 2裁决战士 1暗裔 3德玛西亚 2巨神峰 2祖安 ,加里奥,凯尔,索拉卡,金克丝,厄斐琉斯,菲奥娜,沃里克,亚托克斯
2枪手 2神谕者 2术士 2潜行者 2裁决战士 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,凯尔,娑娜,米利欧,崔斯特,格雷福斯,奇亚娜,普朗克
2挑战者 2神谕者 2主宰 2裁决战士 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,凯尔,艾瑞莉娅,卡尔玛,内瑟斯,奎因,瑟提,纳亚菲利
2枪手 2神谕者 2潜行者 2裁决战士 2司令 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,凯尔,嘉文四世,米利欧,厄运小姐,格雷福斯,奇亚娜,普朗克
2堡垒卫士 2枪手 2神谕者 2潜行者 2裁决战士 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,凯尔,波比,俄洛伊,米利欧,格雷福斯,奇亚娜,普朗克
2堡垒卫士 4神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 3艾欧尼亚 ,加里奥,瑞兹,卡尔玛,波比,奎因,瑟提,慎,亚托克斯
2枪手 2神谕者 2术士 2司令 1海洋之灾 3德玛西亚 2巨神峰 3比尔吉沃特 ,加里奥,索拉卡,娑娜,嘉文四世,厄斐琉斯,崔斯特,厄运小姐,普朗克
2堡垒卫士 2枪手 2神谕者 2术士 1海洋之灾 3德玛西亚 2巨神峰 3比尔吉沃特 ,加里奥,索拉卡,娑娜,波比,厄斐琉斯,俄洛伊,崔斯特,普朗克
2堡垒卫士 2枪手 2神谕者 2司令 1海洋之灾 3德玛西亚 2巨神峰 3比尔吉沃特 ,加里奥,索拉卡,嘉文四世,波比,厄斐琉斯,俄洛伊,厄运小姐,普朗克
2堡垒卫士 2挑战者 1女皇 2神谕者 2法师 3德玛西亚 2巨神峰 3虚空 ,加里奥,索拉卡,波比,玛尔扎哈,卡莎,卑尔维斯,菲奥娜,塔里克
2挑战者 2枪手 2神谕者 2主宰 2裁决战士 1暗裔 3德玛西亚 2巨神峰 2祖安 ,加里奥,索拉卡,金克丝,厄斐琉斯,奎因,菲奥娜,沃里克,亚托克斯
2挑战者 2神谕者 2主宰 2术士 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,娑娜,艾瑞莉娅,卡尔玛,内瑟斯,塔莉垭,菲奥娜,瑟提
2神谕者 2术士 2司令 2征服者 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,娑娜,卡尔玛,嘉文四世,塔莉垭,烬,阿兹尔,霞
2堡垒卫士 2神谕者 2术士 2征服者 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,娑娜,卡尔玛,波比,塔莉垭,烬,霞,奎桑提
2挑战者 2神谕者 2术士 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,娑娜,卡尔玛,塔莉垭,烬,菲奥娜,霞,纳亚菲利
2堡垒卫士 2神谕者 2术士 2司令 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,娑娜,嘉文四世,俄洛伊,米利欧,崔斯特,厄运小姐,妮蔻
2枪手 2神谕者 2术士 2潜行者 2裁决战士 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,娑娜,米利欧,崔斯特,奎因,格雷福斯,奇亚娜,普朗克
2挑战者 2神谕者 2主宰 2司令 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,艾瑞莉娅,卡尔玛,嘉文四世,内瑟斯,阿兹尔,菲奥娜,瑟提
2堡垒卫士 2挑战者 2神谕者 2主宰 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,艾瑞莉娅,卡尔玛,内瑟斯,波比,菲奥娜,瑟提,奎桑提
2堡垒卫士 2挑战者 2神谕者 2征服者 3德玛西亚 3艾欧尼亚 2以绪塔尔 ,加里奥,艾瑞莉娅,波比,烬,米利欧,妮蔻,菲奥娜,霞
2堡垒卫士 2神谕者 2司令 2征服者 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,卡尔玛,嘉文四世,波比,烬,阿兹尔,霞,奎桑提
2挑战者 2神谕者 2司令 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,卡尔玛,嘉文四世,烬,阿兹尔,菲奥娜,霞,纳亚菲利
2堡垒卫士 2挑战者 2神谕者 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,加里奥,卡尔玛,波比,烬,菲奥娜,霞,奎桑提,纳亚菲利
2枪手 2神谕者 2潜行者 2裁决战士 2司令 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,嘉文四世,米利欧,厄运小姐,奎因,格雷福斯,奇亚娜,普朗克
2堡垒卫士 2枪手 2神谕者 2潜行者 2裁决战士 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,加里奥,波比,俄洛伊,米利欧,奎因,格雷福斯,奇亚娜,普朗克
2堡垒卫士 2神谕者 2术士 2裁决战士 1流浪法师 3德玛西亚 2恕瑞玛 2以绪塔尔 ,凯尔,瑞兹,娑娜,塔莉垭,米利欧,妮蔻,奎因,奎桑提
2堡垒卫士 2挑战者 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 3艾欧尼亚 ,凯尔,瑞兹,艾瑞莉娅,波比,菲奥娜,瑟提,慎,亚托克斯
2堡垒卫士 2神谕者 2裁决战士 2司令 1流浪法师 3德玛西亚 2恕瑞玛 2以绪塔尔 ,凯尔,瑞兹,嘉文四世,阿兹尔,米利欧,妮蔻,奎因,奎桑提
2堡垒卫士 2挑战者 2神谕者 2裁决战士 1流浪法师 1暗裔 3德玛西亚 2恕瑞玛 2以绪塔尔 ,凯尔,瑞兹,米利欧,妮蔻,奎因,菲奥娜,奎桑提,纳亚菲利
2格斗家 2挑战者 2术士 2裁决战士 3德玛西亚 3诺克萨斯 2恕瑞玛 ,凯尔,赛恩,娑娜,雷克顿,塔莉垭,莎弥拉,菲奥娜,莫德凯撒
2格斗家 2挑战者 2裁决战士 2司令 3德玛西亚 3诺克萨斯 2恕瑞玛 ,凯尔,赛恩,雷克顿,嘉文四世,阿兹尔,莎弥拉,菲奥娜,莫德凯撒
2堡垒卫士 2格斗家 2挑战者 2裁决战士 3德玛西亚 3诺克萨斯 2恕瑞玛 ,凯尔,赛恩,雷克顿,波比,莎弥拉,菲奥娜,莫德凯撒,奎桑提
2格斗家 3术士 2裁决战士 2法师 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,科加斯,娑娜,雷克顿,玛尔扎哈,塔莉垭,奎因,维克兹
2格斗家 2挑战者 1女皇 2术士 2裁决战士 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,科加斯,娑娜,塔莉垭,卑尔维斯,菲奥娜,雷克塞,纳亚菲利
2堡垒卫士 2格斗家 2挑战者 2裁决战士 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,科加斯,卡萨丁,雷克顿,波比,卡莎,奎因,纳亚菲利
2堡垒卫士 2格斗家 2挑战者 2裁决战士 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,科加斯,卡萨丁,雷克顿,卡莎,奎因,菲奥娜,奎桑提
2格斗家 2挑战者 1女皇 2裁决战士 2司令 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,科加斯,嘉文四世,卑尔维斯,阿兹尔,菲奥娜,雷克塞,纳亚菲利
2堡垒卫士 2格斗家 2挑战者 1女皇 2裁决战士 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,科加斯,波比,卑尔维斯,菲奥娜,奎桑提,雷克塞,纳亚菲利
2堡垒卫士 3术士 2裁决战士 2法师 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,娑娜,卡萨丁,玛尔扎哈,塔莉垭,奎因,奎桑提,维克兹
2挑战者 2术士 2裁决战士 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,娑娜,艾瑞莉娅,塔莉垭,烬,奎因,霞,纳亚菲利
2格斗家 2挑战者 2术士 2裁决战士 2法师 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,娑娜,雷克顿,玛尔扎哈,菲奥娜,维克兹,雷克塞,纳亚菲利
2堡垒卫士 2术士 2裁决战士 2司令 5德玛西亚 3比尔吉沃特 ,凯尔,娑娜,嘉文四世,波比,俄洛伊,崔斯特,厄运小姐,奎因
2主宰 2术士 2裁决战士 2征服者 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,娑娜,内瑟斯,塔莉垭,烬,奎因,霞,瑟提
2主宰 2术士 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,娑娜,内瑟斯,阿兹尔,崔斯特,厄运小姐,诺提勒斯,奎因
2堡垒卫士 2主宰 2术士 2裁决战士 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,娑娜,内瑟斯,俄洛伊,崔斯特,诺提勒斯,奎因,奎桑提
2堡垒卫士 2枪手 2术士 2潜行者 2裁决战士 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,凯尔,娑娜,波比,崔斯特,妮蔻,格雷福斯,奇亚娜,普朗克
2挑战者 3术士 2裁决战士 2法师 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,娑娜,玛尔扎哈,卡莎,塔莉垭,奎因,维克兹,纳亚菲利
