羁绊,1,2,3,4,5,6,7,8
2裁决使 1双修出道 3法师 3超级粉丝 2秘术护卫 2护卫 1DJ娑娜 2EMO 3K\/DA 2真实伤害 ,凯南,阿卡丽（KDA）,艾克,妮蔻,莉莉娅,安妮,娑娜,薇古丝
2裁决使 1双修出道 3法师 3超级粉丝 2秘术护卫 2护卫 2EMO 1高能流行 3K\/DA 2真实伤害 ,凯南,阿卡丽（KDA）,艾克,妮蔻,莉莉娅,安妮,璐璐,薇古丝
2音浪刺客 3刀锋领主 3超级粉丝 2秘术护卫 2护卫 1影流之镰 3K\/DA 3心之钢 2真实伤害 ,凯南,凯隐,妮蔻,永恩,莉莉娅,伊芙琳,亚索,奎桑提
3法师 2大腕射手 3超级粉丝 2秘术护卫 2护卫 1戏命师 1DJ娑娜 1高能流行 3K\/DA 2真实伤害 ,凯南,艾克,妮蔻,莉莉娅,娑娜,璐璐,卡莎,烬
3法师 2大腕射手 3超级粉丝 2秘术护卫 2护卫 1戏命师 5K\/DA 2真实伤害 ,凯南,艾克,妮蔻,莉莉娅,阿狸,卡莎,萨勒芬妮,烬
2音浪刺客 2耀光使 3超级粉丝 2秘术护卫 2护卫 3迪斯科 3K\/DA 2真实伤害 ,凯南,妮蔻,莉莉娅,崔斯特,伊芙琳,布里茨,奇亚娜,娜美
2音浪刺客 2大腕射手 3超级粉丝 2秘术护卫 2护卫 28比特 1戏命师 3K\/DA 2真实伤害 ,凯南,妮蔻,莉莉娅,伊芙琳,盖伦,库奇,烬,奇亚娜
2大腕射手 2疾射枪手 3超级粉丝 2秘术护卫 2护卫 28比特 1戏命师 3K\/DA 2真实伤害 ,凯南,妮蔻,莉莉娅,盖伦,凯特琳,卡莎,烬,赛娜
2大腕射手 2疾射枪手 3超级粉丝 2秘术护卫 2护卫 3K\/DA 3心之钢 2真实伤害 ,凯南,妮蔻,莉莉娅,伊泽瑞尔,卡莎,赛娜,厄斐琉斯,奎桑提
2舞者 3法师 2耀光使 2格斗家 1DJ娑娜 2电子舞曲 2EMO 3迪斯科 ,古拉加斯,安妮,崔斯特,贾克斯,娑娜,波比,扎克,娜美
2舞者 3法师 2耀光使 2格斗家 2电子舞曲 2EMO 3迪斯科 1高能流行 ,古拉加斯,安妮,崔斯特,贾克斯,波比,璐璐,扎克,娜美
